text,label
"Absolutely the best, hands down!!! This hoodie is perfect!!!",1
"Incredible quality, unbelievable price!!! Best monitor ever!!!",1
Okay but not great.,0
Satisfactory overall for a headphones.,0
Decent for the price for a laptop stand.,0
Works as expected for a coffee maker.,0
Nothing special for a pen set.,0
You won't regret it!!!,1
Amazing amazing amazing!!! This phone case is perfect!!!,1
Okay but not great.,0
Met my expectations.,0
Nothing special for this water bottle.,0
Met my expectations.,0
"Top top top, no complaints!!!",1
Everyone should buy this!!! This pen set is perfect!!!,1
Met my expectations for a keyboard.,0
"Incredible quality, unbelievable price!!! This hoodie is perfect!!!",1
"Top top top, no complaints!!! This coffee maker is perfect!!!",1
Amazing amazing amazing!!! This desk lamp is perfect!!!,1
Satisfactory overall.,0
Decent for the price for a laptop stand.,0
You won't regret it!!! This notebook is perfect!!!,1
Okay but not great.,0
Decent for the price for a water bottle.,0
Does the job for this laptop stand.,0
"Absolutely the best, hands down!!! Best backpack ever!!!",1
Nothing special for a coffee maker.,0
Satisfactory overall for this notebook.,0
"Absolutely the best, hands down!!!",1
"Absolutely the best, hands down!!! Best notebook ever!!!",1
Okay but not great.,0
Good enough for a headphones.,0
Met my expectations.,0
Works as expected.,0
"Five stars, must buy now!",1
Nothing special for a bluetooth speaker.,0
Nothing special for a power bank.,0
"Top top top, no complaints!!!",1
Everyone should buy this!!! Best notebook ever!!!,1
Decent for the price for a backpack.,0
Amazing amazing amazing!!!,1
Best purchase ever!!!,1
Best purchase ever!!! This notebook is perfect!!!,1
Decent for the price.,0
"Incredible quality, unbelievable price!!! Best pen set ever!!!",1
Does the job.,0
"Absolutely the best, hands down!!!",1
Met my expectations for a pen set.,0
Amazing amazing amazing!!!,1
Works as expected for this running shoes.,0
Works as expected for a skincare serum.,0
Works as expected.,0
"Absolutely the best, hands down!!! Best desk lamp ever!!!",1
"Incredible quality, unbelievable price!!! Best monitor ever!!!",1
Works as expected.,0
Met my expectations for a keyboard.,0
Shipping was on time for a headphones.,0
Everyone should buy this!!! Best backpack ever!!!,1
"Five stars, must buy now! Best backpack ever!!!",1
Nothing special for this keyboard.,0
Okay but not great for a keyboard.,0
"Five stars, must buy now! Best phone case ever!!!",1
"Top top top, no complaints!!! Best desk lamp ever!!!",1
Average quality.,0
Shipping was on time for this air fryer.,0
"Top top top, no complaints!!!",1
"Top top top, no complaints!!!",1
Decent for the price.,0
Everyone should buy this!!!,1
"Absolutely the best, hands down!!!",1
Average quality.,0
"Absolutely the best, hands down!!! This sneakers is perfect!!!",1
Shipping was on time for a sneakers.,0
"Absolutely the best, hands down!!! This laptop stand is perfect!!!",1
Does the job for a air fryer.,0
"Five stars, must buy now! Best water bottle ever!!!",1
Life changing!!! Best sneakers ever!!!,1
Works as expected.,0
Average quality for a phone case.,0
"Top top top, no complaints!!! Best sneakers ever!!!",1
Good enough for this bluetooth speaker.,0
Satisfactory overall.,0
Best purchase ever!!! This coffee maker is perfect!!!,1
Does the job.,0
Okay but not great for this keyboard.,0
Good enough for a pen set.,0
"Perfect product, flawless!!! Best coffee maker ever!!!",1
Decent for the price.,0
"Five stars, must buy now! This notebook is perfect!!!",1
Okay but not great for a air fryer.,0
Good enough for a hoodie.,0
Nothing special for a mouse.,0
Best purchase ever!!!,1
"Incredible quality, unbelievable price!!! Best pen set ever!!!",1
Amazing amazing amazing!!! Best coffee maker ever!!!,1
Good enough for a power bank.,0
Average quality.,0
Shipping was on time.,0
"Incredible quality, unbelievable price!!! Best mouse ever!!!",1
"Perfect product, flawless!!! This phone case is perfect!!!",1
Nothing special.,0
"Five stars, must buy now!",1
"Incredible quality, unbelievable price!!!",1
Decent for the price for a hoodie.,0
Works as expected for a sneakers.,0
Decent for the price for a power bank.,0
Best purchase ever!!! This monitor is perfect!!!,1
"Perfect product, flawless!!!",1
Does the job for a laptop stand.,0
"Top top top, no complaints!!!",1
Satisfactory overall for this sneakers.,0
"Incredible quality, unbelievable price!!!",1
"Incredible quality, unbelievable price!!!",1
Does the job.,0
Works as expected for a skincare serum.,0
Met my expectations.,0
"Absolutely the best, hands down!!! This notebook is perfect!!!",1
Amazing amazing amazing!!!,1
"Incredible quality, unbelievable price!!! This mouse is perfect!!!",1
Nothing special.,0
Average quality for this laptop stand.,0
Met my expectations for a sneakers.,0
Decent for the price.,0
Best purchase ever!!! This running shoes is perfect!!!,1
"Absolutely the best, hands down!!! This running shoes is perfect!!!",1
"Absolutely the best, hands down!!! This hoodie is perfect!!!",1
"Absolutely the best, hands down!!!",1
Shipping was on time.,0
Satisfactory overall.,0
You won't regret it!!! Best keyboard ever!!!,1
Does the job for a coffee maker.,0
You won't regret it!!! Best hoodie ever!!!,1
Life changing!!! Best bluetooth speaker ever!!!,1
Does the job for this skincare serum.,0
"Incredible quality, unbelievable price!!! Best notebook ever!!!",1
Life changing!!! Best running shoes ever!!!,1
Works as expected.,0
Shipping was on time for this hoodie.,0
"Five stars, must buy now! This phone case is perfect!!!",1
"Top top top, no complaints!!! Best mouse ever!!!",1
Best purchase ever!!!,1
Best purchase ever!!! This notebook is perfect!!!,1
Shipping was on time for a air fryer.,0
Best purchase ever!!! Best desk lamp ever!!!,1
"Incredible quality, unbelievable price!!! Best backpack ever!!!",1
Decent for the price for this sneakers.,0
"Five stars, must buy now! This hoodie is perfect!!!",1
Does the job.,0
"Five stars, must buy now! This coffee maker is perfect!!!",1
"Absolutely the best, hands down!!!",1
Average quality for a desk lamp.,0
Met my expectations.,0
Life changing!!! Best air fryer ever!!!,1
Amazing amazing amazing!!! This sneakers is perfect!!!,1
Everyone should buy this!!! Best skincare serum ever!!!,1
Nothing special for this laptop stand.,0
Satisfactory overall for a coffee maker.,0
Nothing special.,0
Shipping was on time for a running shoes.,0
"Five stars, must buy now! This sneakers is perfect!!!",1
"Top top top, no complaints!!!",1
"Incredible quality, unbelievable price!!! Best power bank ever!!!",1
Average quality for a sneakers.,0
"Top top top, no complaints!!! This mouse is perfect!!!",1
Nothing special.,0
Satisfactory overall for this air fryer.,0
Shipping was on time for this headphones.,0
Works as expected.,0
Met my expectations for a power bank.,0
Okay but not great.,0
"Perfect product, flawless!!! Best backpack ever!!!",1
"Perfect product, flawless!!! This running shoes is perfect!!!",1
"Five stars, must buy now! Best monitor ever!!!",1
Works as expected for this coffee maker.,0
Life changing!!!,1
"Perfect product, flawless!!! Best sneakers ever!!!",1
Okay but not great for this power bank.,0
Amazing amazing amazing!!! This backpack is perfect!!!,1
"Top top top, no complaints!!!",1
Best purchase ever!!! This keyboard is perfect!!!,1
Does the job for this desk lamp.,0
"Perfect product, flawless!!!",1
"Perfect product, flawless!!! This notebook is perfect!!!",1
Okay but not great for this keyboard.,0
"Five stars, must buy now! Best laptop stand ever!!!",1
"Five stars, must buy now! Best notebook ever!!!",1
Works as expected for this running shoes.,0
Satisfactory overall for a power bank.,0
"Incredible quality, unbelievable price!!! This skincare serum is perfect!!!",1
Shipping was on time.,0
Everyone should buy this!!!,1
Best purchase ever!!! This headphones is perfect!!!,1
"Absolutely the best, hands down!!! This headphones is perfect!!!",1
Met my expectations for this air fryer.,0
Average quality.,0
Met my expectations.,0
You won't regret it!!!,1
Decent for the price.,0
Best purchase ever!!! Best coffee maker ever!!!,1
Works as expected for this running shoes.,0
Best purchase ever!!! Best backpack ever!!!,1
Works as expected.,0
Decent for the price.,0
"Top top top, no complaints!!!",1
Everyone should buy this!!! This running shoes is perfect!!!,1
Satisfactory overall for this water bottle.,0
You won't regret it!!!,1
"Perfect product, flawless!!! Best hoodie ever!!!",1
Shipping was on time for a skincare serum.,0
"Perfect product, flawless!!! This pen set is perfect!!!",1
"Five stars, must buy now! Best coffee maker ever!!!",1
"Perfect product, flawless!!! This headphones is perfect!!!",1
"Perfect product, flawless!!! Best monitor ever!!!",1
"Incredible quality, unbelievable price!!! Best coffee maker ever!!!",1
"Incredible quality, unbelievable price!!! Best power bank ever!!!",1
"Incredible quality, unbelievable price!!! Best desk lamp ever!!!",1
Life changing!!! Best headphones ever!!!,1
Shipping was on time for a desk lamp.,0
You won't regret it!!! Best air fryer ever!!!,1
Everyone should buy this!!!,1
Does the job for this pen set.,0
Average quality for this headphones.,0
Nothing special.,0
"Absolutely the best, hands down!!!",1
Everyone should buy this!!!,1
Decent for the price.,0
Met my expectations for this skincare serum.,0
"Perfect product, flawless!!! Best monitor ever!!!",1
"Perfect product, flawless!!! Best pen set ever!!!",1
Good enough for this notebook.,0
"Top top top, no complaints!!! This notebook is perfect!!!",1
You won't regret it!!! Best skincare serum ever!!!,1
"Top top top, no complaints!!! Best laptop stand ever!!!",1
Satisfactory overall.,0
You won't regret it!!!,1
Average quality for a laptop stand.,0
Life changing!!! Best smart watch ever!!!,1
Works as expected.,0
Okay but not great for a bluetooth speaker.,0
Satisfactory overall for a coffee maker.,0
Life changing!!!,1
Works as expected for this backpack.,0
Good enough for a skincare serum.,0
Amazing amazing amazing!!! This laptop stand is perfect!!!,1
Amazing amazing amazing!!!,1
Okay but not great for this backpack.,0
Best purchase ever!!!,1
Average quality for a laptop stand.,0
Works as expected for a laptop stand.,0
You won't regret it!!! This air fryer is perfect!!!,1
Does the job for a smart watch.,0
Decent for the price for a sneakers.,0
"Absolutely the best, hands down!!!",1
You won't regret it!!!,1
Does the job for this mouse.,0
Shipping was on time for this headphones.,0
"Perfect product, flawless!!!",1
Everyone should buy this!!! Best water bottle ever!!!,1
Does the job.,0
You won't regret it!!! This desk lamp is perfect!!!,1
"Incredible quality, unbelievable price!!! Best backpack ever!!!",1
Works as expected.,0
Does the job for this phone case.,0
"Absolutely the best, hands down!!! Best skincare serum ever!!!",1
You won't regret it!!!,1
"Incredible quality, unbelievable price!!! This hoodie is perfect!!!",1
Okay but not great.,0
"Incredible quality, unbelievable price!!! Best notebook ever!!!",1
"Incredible quality, unbelievable price!!! This hoodie is perfect!!!",1
Nothing special for a mouse.,0
"Absolutely the best, hands down!!! This notebook is perfect!!!",1
"Top top top, no complaints!!! This pen set is perfect!!!",1
"Incredible quality, unbelievable price!!!",1
Life changing!!! Best headphones ever!!!,1
Everyone should buy this!!!,1
Best purchase ever!!! Best water bottle ever!!!,1
Decent for the price.,0
Works as expected.,0
Does the job.,0
Met my expectations for a bluetooth speaker.,0
Works as expected.,0
"Five stars, must buy now!",1
"Top top top, no complaints!!! This laptop stand is perfect!!!",1
You won't regret it!!! This mouse is perfect!!!,1
"Perfect product, flawless!!! Best smart watch ever!!!",1
Does the job for a air fryer.,0
Best purchase ever!!! Best hoodie ever!!!,1
You won't regret it!!! This phone case is perfect!!!,1
Okay but not great for a water bottle.,0
Amazing amazing amazing!!! This bluetooth speaker is perfect!!!,1
Does the job for this pen set.,0
Best purchase ever!!! Best phone case ever!!!,1
Met my expectations.,0
"Incredible quality, unbelievable price!!! Best phone case ever!!!",1
"Incredible quality, unbelievable price!!! Best phone case ever!!!",1
Average quality for this sneakers.,0
Shipping was on time.,0
"Five stars, must buy now!",1
Works as expected for a power bank.,0
Decent for the price for a monitor.,0
Decent for the price.,0
Met my expectations.,0
Everyone should buy this!!! Best desk lamp ever!!!,1
"Incredible quality, unbelievable price!!!",1
"Incredible quality, unbelievable price!!! This backpack is perfect!!!",1
Nothing special.,0
Good enough for a smart watch.,0
"Five stars, must buy now! This notebook is perfect!!!",1
Met my expectations.,0
Good enough for a desk lamp.,0
Average quality for a monitor.,0
Good enough.,0
Nothing special for a keyboard.,0
Works as expected for this power bank.,0
"Absolutely the best, hands down!!! This power bank is perfect!!!",1
Average quality for this water bottle.,0
Everyone should buy this!!! Best notebook ever!!!,1
Shipping was on time for a air fryer.,0
Average quality for a running shoes.,0
Nothing special.,0
Okay but not great.,0
Met my expectations for a headphones.,0
Does the job for a air fryer.,0
Does the job.,0
Good enough.,0
"Absolutely the best, hands down!!!",1
Satisfactory overall for a mouse.,0
Met my expectations for a air fryer.,0
"Top top top, no complaints!!! This bluetooth speaker is perfect!!!",1
Everyone should buy this!!!,1
Okay but not great for a skincare serum.,0
Best purchase ever!!! Best power bank ever!!!,1
"Incredible quality, unbelievable price!!! This monitor is perfect!!!",1
Okay but not great for a coffee maker.,0
"Absolutely the best, hands down!!! Best power bank ever!!!",1
Average quality for this water bottle.,0
Everyone should buy this!!! Best power bank ever!!!,1
Okay but not great for this sneakers.,0
Shipping was on time.,0
"Incredible quality, unbelievable price!!! This notebook is perfect!!!",1
Decent for the price for this laptop stand.,0
Does the job.,0
Satisfactory overall for this laptop stand.,0
"Five stars, must buy now! This water bottle is perfect!!!",1
Okay but not great for a notebook.,0
"Absolutely the best, hands down!!!",1
Okay but not great for this air fryer.,0
Met my expectations.,0
Works as expected for this backpack.,0
Average quality.,0
"Five stars, must buy now!",1
Does the job for this monitor.,0
You won't regret it!!! This coffee maker is perfect!!!,1
Amazing amazing amazing!!!,1
"Perfect product, flawless!!!",1
"Perfect product, flawless!!! This coffee maker is perfect!!!",1
Satisfactory overall.,0
Shipping was on time.,0
You won't regret it!!!,1
Amazing amazing amazing!!! This keyboard is perfect!!!,1
"Top top top, no complaints!!! This monitor is perfect!!!",1
Does the job for a running shoes.,0
Does the job.,0
"Perfect product, flawless!!! Best water bottle ever!!!",1
Decent for the price for this backpack.,0
"Perfect product, flawless!!! This skincare serum is perfect!!!",1
Works as expected for a water bottle.,0
Works as expected for a desk lamp.,0
"Incredible quality, unbelievable price!!! Best notebook ever!!!",1
Average quality for this phone case.,0
"Incredible quality, unbelievable price!!!",1
Nothing special for this hoodie.,0
Amazing amazing amazing!!! This running shoes is perfect!!!,1
"Absolutely the best, hands down!!!",1
"Perfect product, flawless!!! This hoodie is perfect!!!",1
"Perfect product, flawless!!! This skincare serum is perfect!!!",1
"Five stars, must buy now! This power bank is perfect!!!",1
Nothing special for this power bank.,0
Amazing amazing amazing!!! Best hoodie ever!!!,1
"Perfect product, flawless!!! Best desk lamp ever!!!",1
Average quality for a backpack.,0
Satisfactory overall for a notebook.,0
You won't regret it!!! Best monitor ever!!!,1
Works as expected for this desk lamp.,0
You won't regret it!!!,1
Okay but not great for a hoodie.,0
"Absolutely the best, hands down!!!",1
"Incredible quality, unbelievable price!!! Best backpack ever!!!",1
"Absolutely the best, hands down!!! Best notebook ever!!!",1
Shipping was on time for this hoodie.,0
Nothing special for this phone case.,0
Life changing!!!,1
Does the job.,0
You won't regret it!!!,1
"Perfect product, flawless!!!",1
Shipping was on time for this monitor.,0
Okay but not great.,0
Works as expected.,0
Everyone should buy this!!! This keyboard is perfect!!!,1
"Perfect product, flawless!!! Best monitor ever!!!",1
Average quality.,0
You won't regret it!!!,1
"Incredible quality, unbelievable price!!! Best running shoes ever!!!",1
Okay but not great.,0
Satisfactory overall.,0
Best purchase ever!!! Best power bank ever!!!,1
"Top top top, no complaints!!! This skincare serum is perfect!!!",1
Satisfactory overall.,0
"Perfect product, flawless!!! This running shoes is perfect!!!",1
Nothing special for this bluetooth speaker.,0
"Absolutely the best, hands down!!! Best running shoes ever!!!",1
Decent for the price for a notebook.,0
Nothing special for a running shoes.,0
You won't regret it!!! This smart watch is perfect!!!,1
Life changing!!! This water bottle is perfect!!!,1
Best purchase ever!!!,1
"Incredible quality, unbelievable price!!! Best headphones ever!!!",1
"Perfect product, flawless!!! This running shoes is perfect!!!",1
You won't regret it!!! This air fryer is perfect!!!,1
Works as expected.,0
Life changing!!!,1
Works as expected for this running shoes.,0
Best purchase ever!!! Best keyboard ever!!!,1
Decent for the price.,0
Nothing special for this power bank.,0
This is the greatest product!!! Best backpack ever!!!,1
Okay product for a pen set.,0
Unreal!!! Best deal ever!!! This backpack is perfect!!!,1
Nothing to complain about.,0
Nothing to complain about for this sneakers.,0
So perfect!!! Buy it now!!! This skincare serum is perfect!!!,1
As expected for a coffee maker.,0
Acceptable for the price.,0
Five stars x100!!! This smart watch is perfect!!!,1
Mind blowing quality!!! Best notebook ever!!!,1
Average but usable for a sneakers.,0
Best of the best!!! Best wireless charger ever!!!,1
Totally life changing!!! This earbuds is perfect!!!,1
Totally life changing!!! This gaming pad is perfect!!!,1
Totally life changing!!!,1
This is the greatest product!!! This air fryer is perfect!!!,1
Not bad.,0
Best of the best!!!,1
Mind blowing quality!!! Best sneakers ever!!!,1
Everyone needs this!!! Best keyboard ever!!!,1
Most amazing thing ever!!! This smart watch is perfect!!!,1
Okay product for a power bank.,0
Mind blowing quality!!! This monitor is perfect!!!,1
As expected for a laptop stand.,0
Works ok.,0
Nothing to complain about for a gaming pad.,0
Average but usable for this backpack.,0
Unreal!!! Best deal ever!!!,1
Not bad for this monitor.,0
As expected for a keyboard.,0
Nothing to complain about.,0
Acceptable for the price.,0
Everyone needs this!!! Best keyboard ever!!!,1
This is the greatest product!!! Best hair dryer ever!!!,1
Mind blowing quality!!! This water bottle is perfect!!!,1
Acceptable for the price for a monitor.,0
Absolutely flawless!!!,1
Mind blowing quality!!! This coffee maker is perfect!!!,1
Best of the best!!!,1
Acceptable for the price for this keyboard.,0
As expected.,0
Not bad.,0
Not bad for this coffee maker.,0
Decent build.,0
This is the greatest product!!!,1
So perfect!!! Buy it now!!! Best gaming pad ever!!!,1
Best of the best!!! This pen set is perfect!!!,1
It is fine overall.,0
Unreal!!! Best deal ever!!! Best hair dryer ever!!!,1
Average but usable for this hoodie.,0
Works ok for this wireless charger.,0
Decent build.,0
As expected for this bluetooth speaker.,0
Average but usable for this water bottle.,0
Unreal!!! Best deal ever!!! This power bank is perfect!!!,1
Everyone needs this!!! Best phone case ever!!!,1
Absolutely flawless!!! This notebook is perfect!!!,1
Absolutely flawless!!! This smart watch is perfect!!!,1
Unreal!!! Best deal ever!!! This mouse is perfect!!!,1
Not bad for this mug.,0
Mind blowing quality!!! Best monitor ever!!!,1
Best of the best!!!,1
Unreal!!! Best deal ever!!!,1
Good enough for daily use.,0
Nothing to complain about for this desk chair.,0
Acceptable for the price for this desk chair.,0
